date,tweets
2013-07-15 00:00:00,3
2013-07-15 01:00:00,2
2013-07-15 02:00:00,0
2013-07-15 03:00:00,0
2013-07-15 04:00:00,0
2013-07-15 05:00:00,0
2013-07-15 06:00:00,0
2013-07-15 07:00:00,2
2013-07-15 08:00:00,7
2013-07-15 09:00:00,3
2013-07-15 10:00:00,2
2013-07-15 11:00:00,3
2013-07-15 12:00:00,2
2013-07-15 13:00:00,3
2013-07-15 14:00:00,7
2013-07-15 15:00:00,4
2013-07-15 16:00:00,4
2013-07-15 17:00:00,2
2013-07-15 18:00:00,13
2013-07-15 19:00:00,6
2013-07-15 20:00:00,22
2013-07-15 21:00:00,22
2013-07-15 22:00:00,6
2013-07-15 23:00:00,5
2013-07-16 00:00:00,2
2013-07-16 01:00:00,0
2013-07-16 02:00:00,0
2013-07-16 03:00:00,1
2013-07-16 04:00:00,0
2013-07-16 05:00:00,0
2013-07-16 06:00:00,0
2013-07-16 07:00:00,0
2013-07-16 08:00:00,3
2013-07-16 09:00:00,3
2013-07-16 10:00:00,6
2013-07-16 11:00:00,13
2013-07-16 12:00:00,12
2013-07-16 13:00:00,8
2013-07-16 14:00:00,3
2013-07-16 15:00:00,7
2013-07-16 16:00:00,8
2013-07-16 17:00:00,18
2013-07-16 18:00:00,9
2013-07-16 19:00:00,8
2013-07-16 20:00:00,5
2013-07-16 21:00:00,5
2013-07-16 22:00:00,7
2013-07-16 23:00:00,3
2013-07-17 00:00:00,1
2013-07-17 01:00:00,0
2013-07-17 02:00:00,0
2013-07-17 03:00:00,0
2013-07-17 04:00:00,0
2013-07-17 05:00:00,2
2013-07-17 06:00:00,1
2013-07-17 07:00:00,11
2013-07-17 08:00:00,2
2013-07-17 09:00:00,6
2013-07-17 10:00:00,5
2013-07-17 11:00:00,5
2013-07-17 12:00:00,6
2013-07-17 13:00:00,9
2013-07-17 14:00:00,0
2013-07-17 15:00:00,4
2013-07-17 16:00:00,7
2013-07-17 17:00:00,8
2013-07-17 18:00:00,10
2013-07-17 19:00:00,4
2013-07-17 20:00:00,21
2013-07-17 21:00:00,127
2013-07-17 22:00:00,114
2013-07-17 23:00:00,42
2013-07-18 00:00:00,36
2013-07-18 01:00:00,10
2013-07-18 02:00:00,6
2013-07-18 03:00:00,1
2013-07-18 04:00:00,2
2013-07-18 05:00:00,0
2013-07-18 06:00:00,5
2013-07-18 07:00:00,26
2013-07-18 08:00:00,30
2013-07-18 09:00:00,87
2013-07-18 10:00:00,96
2013-07-18 11:00:00,129
2013-07-18 12:00:00,84
2013-07-18 13:00:00,100
2013-07-18 14:00:00,74
2013-07-18 15:00:00,70
2013-07-18 16:00:00,48
2013-07-18 17:00:00,55
2013-07-18 18:00:00,42
2013-07-18 19:00:00,39
2013-07-18 20:00:00,62
2013-07-18 21:00:00,45
2013-07-18 22:00:00,52
